a	một
a font	thấu triệt; cặn kẽ; rõ ngọn nghành
a fortiori	huống hồ; huống là
about	ước chừng
absent	vắng mặt
accept	chấp nhận
all	tất cả
allow	cho phép
alphabet	bảng chữ cái
ant	con kiến
apartment	căn hộ
apostil	lời ghi thêm bên lề (một văn kiện)
apparition	sự hiện ra, sự xuất hiện
append	treo vào
apperceive	(tâm lý học) tổng giác
appetitive	làm cho thèm (ăn)
appliance	đồ phụ tùng
book	sách
bred	nòi, giống
breech	khoá nòng (súng)
bridal	đám cưới, tiệc cưới; liên hoan đám cưới
bridecake	bánh cưới
briefing	sự chỉ dẫn tường tận
brigade	lữ đoàn
bring	cầm lại, đem lại, mang lại, xách lại, đưa lại
briny	mặn
bristly	đầy lông cứng
broadish	hơi rộng
cohesively	gắn bó, liên kết
coiffeuse	thợ cắt tóc, thợ làm đầu
entryway	lối đi vào
eonian	vĩnh cữu; vô cùng
episperm	vỏ (hạt); bao (tinh trùng)
erumpent	thực vật
hanvuhoanglong	đẹp trai
polyphase	(vật lí) nhiều pha
pool	số tiền đặt cọc; hợp nhất; gộp lại
porous	xốp
pose	đặt
predesigned	cho trước, thiết lập trước
18020892	Phạm Quang Minh

